code;project_ids.display_name;periodo_fiscal;investment_sector_id.name;category_id.name;lat;long
CCO-21-10-05-00063;PLAN CONUCO PRODUCTIVO EN LA COMUNIDAD LAS RURALES PQA. TUCUPIDO DEL MUNICIPIO RIBAS ESTADO GUÁRICO.;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;9,23558674431963;-65,7242986303873
CCO-21-09-10-00002;Mejoras del alumbrado publico del sector sur independencia ;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;11,4168813857744;-69,635716320819
CCO-21-08-06-00047;REHABILITACION Y MEJORAS DEL SISTEMA DE ALUMBRADO  PUBLICO EN LA COMUNIDAD EL ARAGUANEY MUNICIPIO EZEQUIEL ZAMORA ESTADO COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,69932481093309;-68,5914514132553
CCO-21-08-06-00058;REHABILITACION DEL SISTEMA DE ALUMBRADO PUBLICO DE LA COMUNIDAD CERRO LA MISION;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,67319348304419;-68,5900245648559
CCO-21-05-02-00003;REMODELACION Y ADECUACION DE ESPACIO FISICO PARA EL FUNCIONAMIENTO DE UN MODULO BARRIO ADENTRO TIPO I, BARRIO UNIÓN PARROQUIA CORAZÓN DE JESÚS MUNICIPIO BARINAS EDO. BARINAS;21;SERVICIOS PÚBLICOS;SALUD;8,62856234241355;-70,2030636551555
CCO-21-10-09-00004;REHABILITACION DE SISTEMA DE ACUEDUCTO;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,92870247950601;-65,7233112348741
CCO-21-09-24-00023;ADQUISICIÓN DE POLLOS DE ENGORDES PARA EL FORTALECIMIENTO SOCIALIMENTARIO DE LA COMUNIDAD EL PICACHO, PARROQUIA URUMACO, MUNICIPIO URUMACO, ESTADO FALCÓN.;21;SOCIOPRODUCTIVOS;SISTEMAS AGROPECUARIOS;11,2302600198959;-70,2138877682009
CCO-21-10-01-00016;ALUMBRADO DE CALLES Y MANTENIMIENTO DE TRANSFORMADORES ELÉCTRICOS EN EL SECTOR GUAICAIPURO PERTENECIENTE AL MUNICIPIO LEONARDO INFANTE PARROQUIA VALLE DE LA PASCUA, ESTADO GUÁRICO.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,21941257513035;-66,0160174923404
CCO-21-07-03-00003;MEJORAS  DEL SISTEMA DE ALUMBRADO PUBLICO  Y DE LA VIALIDAD   DE LA AVENIDA LARA SECTOR VISTA ALEGRE PARROQUIA AGUAS CALIENTES MUNICIPIO DIEGO IBARRA EDO. CARABOBO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;10,2898946208013;-67,6934039688751
CCO-21-12-02-00007;REHABILITACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y EL DIQUE DE LA COMUNIDAD SAISAYAL BAJO LA FORTUNA DEL MUNICIPIO ANDRES BELLO DEL ESTADO MERIDA;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;8,69899830203141;-71,4866651485943
CCO-21-08-09-00018;REHABILITACIÓN DE LA VIALIDAD AGRÍCOLA DEL SECTOR GABINERO PICA 1, MUNICIPIO RÓMULO GALLEGOS, ESTADO COJEDES.;21;SERVICIOS PÚBLICOS;VIALIDAD;9,50987684002481;-68,5833784157053
CCO-21-10-05-00038;ALUMBRADO PUBLICO Y SUSTITUCION DE UN TRANFORMADOR EN EL CASERIO BELLA VISTA MUNICIPIO JOSE FELIX RIBAS EDO GUARICO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,08242772164206;-65,9004606848324
CCO-21-19-13-00004;MEJORAMIENTO Y REHABILITACION DEL ACUEDUCTO DEL SERVICIO DE AGUA POTABLE, EN EL SECTOR LA MATERA, PARROQUIA CAMPO ALEGRE, MUNICIPIO SAN RAFAEL DE CARVAJAL, EDO TRUJILLO.;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,35760514595318;-70,5729612977294
CCO-21-09-12-00003;REHABILITACION DE INFRAESTRUCTURA Y OPTIMIZACION DEL AMBULATORIO RURAL TIPO II DEL SECTOR LAS DELICIAS DE BOCA DE AROA, MUNICIPIO SILVA DEL ESTADO FALCON;21;SERVICIOS PÚBLICOS;SALUD;10,681371908131;-68,2984678056632
CCO-21-08-06-00001;rehabilitacion de las vias agriocola de la comunidad paja brava y santa barbara de la parroquia la sierra del municipio ezequiel zamora .;21;SERVICIOS PÚBLICOS;VIALIDAD;9,8450478870383;-68,6131797311775
CCO-21-08-09-00032;DOTACION Y EQUIPAMIENTO DE POZO PROFUNDO DE AGUA POTABLE EN EL SECTOR LAS DELICIAS, MUNICIPIO ROMULO GALLEGOS, ESTADO COJEDES.;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,51506644654699;-68,6297657135016
CCO-21-10-05-00040;REHABILITACION DE TENDIDO ELECTRICO EN EL CASERIO LA ANGOSTURA, PARROQUIA TUCUPIDO, MUNICIPIO JOSE FELIX RIBAS, ESTADO GUARICO.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,41508985973638;-65,7311426434439
CCO-21-12-13-00001;Siembra de los rubros agrícolas, plátano, yuca, maíz, caraotas, Cacao y ocumo en el sector el paraíso parroquia Tucani del municipio Caracciolo Parra Olmedo del Estado Mérida;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,96932387536515;-71,2746335491506
CCO-21-17-08-00006;“SIEMBRA DE 10 HAS YUCA, 10 HAS DE OCUMO, 05 HAS DE BATATA  Y 05 HAS DE MAÍZ AMARILLO EN LA COMUNIDAD DE BELLA VISTA CARRIZAL, PARROQUIA CARIACO DEL MUNICIPIO RIBERO”;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;10,4924060956442;-63,5117344219547
CCO-21-21-07-00013;REHABILITACION DE POZOS ARTESANALES EN EL SECTOR.;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;11,3165130622354;-72,112905344753
CCO-21-08-05-00024;RECUPERACIÓN  MEJORAS DEL ALUMBRADO PÚBLICO EN EL SECTOR SABANA LARGA, MUNICIPIO RICAURTE, ESTADO COJEDES ;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,51275872425292;-68,7151298424965
